SecondsFromStart,FramesFromStart,FoxesPopulation,RabbitPopulation,RabbitSpeedMedian,RabbitSensoryRangeMedian,RabbitFertilityMedian,FoxSpeedMedian,FoxSensoryRangeMedian,FoxFertilityMedian,MinRabbitLifeTime,AverageRabbitLifeTime,MaxRabbitLifeTime,MinFoxLifeTime,AverageFoxLifeTime,MaxFoxLifeTime,FoxesDiedOfHunger,FoxesDiedOfThirst,RabbitsDiedOfHunger,RabbitsDiedOfThirst,RabbitsDiedOfBeingEaten
8.152212,50,2,4,69,59,44,50,50,50,50,50,50,0,0,0,0,0,0,0,0
8.965096,100,2,4,69,59,44,50,50,50,100,100,100,0,0,0,0,0,0,0,0
9.707813,150,2,4,69,59,44,50,50,50,150,150,150,0,0,0,0,0,0,0,0
10.41712,200,2,4,69,59,44,50,50,50,200,200,200,0,0,0,0,0,0,0,0
11.12748,250,2,4,69,59,44,50,50,50,250,250,250,0,0,0,0,0,0,0,0
11.86407,300,2,4,69,59,44,50,50,50,300,300,300,0,0,0,0,0,0,0,0
12.61516,350,2,4,69,59,44,50,50,50,350,350,350,0,0,0,0,0,0,0,0
13.33712,400,2,4,69,59,44,50,50,50,400,400,400,0,0,0,0,0,0,0,0
14.04703,450,2,4,69,59,44,50,50,50,450,450,450,0,0,0,0,0,0,0,0
14.82108,500,2,4,69,59,44,50,50,50,500,500,500,0,0,0,0,0,0,0,0
