SecondsFromStart,FramesFromStart,FoxesPopulation,RabbitPopulation,RabbitSpeedMedian,RabbitSensoryRangeMedian,RabbitFertilityMedian,FoxSpeedMedian,FoxSensoryRangeMedian,FoxFertilityMedian,FoxesDiedOfHunger,FoxesDiedOfThirst,RabbitsDiedOfHunger,RabbitsDiedOfThirst,RabbitsDiedOfBeingEaten
6.694019,50,0,4,69,52,44,,,,0,0,0,0,0
6.899219,100,0,4,69,52,44,,,,0,0,0,0,0
7.116355,150,0,4,69,52,44,,,,0,0,0,0,0
7.323536,200,0,4,69,52,44,,,,0,0,0,0,0
7.529699,250,0,4,69,52,44,,,,0,0,0,0,0
7.732803,300,0,4,69,52,44,,,,0,0,0,0,0
7.935678,350,0,4,69,52,44,,,,0,0,0,0,0
8.140646,400,0,4,69,52,44,,,,0,0,0,0,0
8.343259,450,0,4,69,52,44,,,,0,0,0,0,0
8.573009,500,0,4,69,52,44,,,,0,0,0,0,0
8.778346,550,0,4,69,52,44,,,,0,0,0,0,0
8.982442,600,0,4,69,52,44,,,,0,0,0,0,0
9.185269,650,0,4,69,52,44,,,,0,0,0,0,0
9.388517,700,0,4,69,52,44,,,,0,0,0,0,0
9.594513,750,0,4,69,52,44,,,,0,0,0,0,0
9.797534,800,0,4,69,52,44,,,,0,0,0,0,0
9.996634,850,0,4,69,52,44,,,,0,0,0,0,0
10.20695,900,0,4,69,52,44,,,,0,0,0,0,0
10.4058,950,0,4,69,52,44,,,,0,0,0,0,0
10.60485,1000,0,4,69,52,44,,,,0,0,0,0,0
10.80185,1050,0,4,69,52,44,,,,0,0,0,0,0
11.00483,1100,0,4,69,52,44,,,,0,0,0,0,0
11.20607,1150,0,4,69,52,44,,,,0,0,0,0,0
11.40623,1200,0,4,69,52,44,,,,0,0,0,0,0
11.61698,1250,0,4,69,52,44,,,,0,0,0,0,0
11.81863,1300,0,4,69,52,44,,,,0,0,0,0,0
12.01597,1350,0,4,69,52,44,,,,0,0,0,0,0
12.21449,1400,0,4,69,52,44,,,,0,0,0,0,0
12.41408,1450,0,4,69,52,44,,,,0,0,0,0,0
12.61301,1500,0,4,69,52,44,,,,0,0,0,0,0
12.81262,1550,0,4,69,52,44,,,,0,0,0,0,0
13.01351,1600,0,4,69,52,44,,,,0,0,0,0,0
13.21385,1650,0,4,69,52,44,,,,0,0,0,0,0
13.42494,1700,0,4,69,52,44,,,,0,0,0,0,0
13.6262,1750,0,4,69,52,44,,,,0,0,0,0,0
13.8258,1800,0,4,69,52,44,,,,0,0,0,0,0
14.02569,1850,0,4,69,52,44,,,,0,0,0,0,0
14.23082,1900,0,4,69,52,44,,,,0,0,0,0,0
14.43132,1950,0,4,69,52,44,,,,0,0,0,0,0
14.63255,2000,0,4,69,52,44,,,,0,0,0,0,0
14.83396,2050,0,4,69,52,44,,,,0,0,0,0,0
